date,product,category,price,unit,market_name,region,woreda,price_type
2023-07-28,Butter (traditional),Animal Product,72.97,kg,Jimma,Tigray,Hadiya,Wholesale
2023-01-03,Banana,Fruit,1693.39,quintal,Dessie,SNNPR,Basketo,Wholesale
2024-06-18,Mango,Fruit,270.94,kg,Dessie,Tigray,Hadiya,Retail
2024-06-21,Shiro,Other,84.45,kg,Dessie,Amhara,Kolfe,Farmgate
2024-04-02,Lettuce,Vegetable,1330.41,quintal,Adama,Addis Ababa,Basketo,Retail
2024-05-06,Carrot,Vegetable,1149.86,quintal,Merkato,Tigray,South Wollo,Farmgate
2023-01-06,Shiro,Other,2414.92,quintal,Hossana,Oromia,Jimma Town,Retail
2024-01-18,Rice (imported),Cereal,2560.68,kg,Merkato,Sidama,Lideta,Farmgate
2024-02-02,Yogurt,Animal Product,135.91,kg,Merkato,SNNPR,North Shewa,Farmgate
2024-04-02,Lettuce,Vegetable,1145.49,quintal,Wolkite,Oromia,Bole,Farmgate
2023-05-18,Lentils,Other,83.48,kg,Jimma,Addis Ababa,Kaffa,Wholesale
2023-10-29,Rice (imported),Cereal,2353.08,quintal,Wolkite,Amhara,Jimma Town,Farmgate
2023-08-09,Spices mix,Other,2388.03,quintal,Wolkite,Oromia,Wolaita,Wholesale
2023-11-24,Beetroot,Vegetable,1045.19,quintal,Bahir Dar,Addis Ababa,Bole,Wholesale
2023-09-14,Orange,Fruit,1720.42,quintal,Hawassa,Oromia,Kaffa,Retail
2023-05-21,Lemon,Fruit,2261.11,quintal,Hossana,Amhara,Kolfe,Farmgate
2023-12-04,Teff (white),Cereal,2095.48,kg,Adama,Tigray,Kolfe,Wholesale
2024-05-07,Tea (local),Processed Food,124.96,kg,Shola,Amhara,Lideta,Retail
2023-04-03,Salt,Processed Food,1622.46,quintal,Adama,Addis Ababa,Kaffa,Farmgate
2024-01-02,Guava,Fruit,1437.69,quintal,Adama,Addis Ababa,Kaffa,Farmgate
2024-06-05,Eggs,Animal Product,9.41,kg,Hossana,Southwest Ethiopia,Wolaita,Farmgate
2023-03-22,Chicken (live),Animal Product,330.69,quintal,Bahir Dar,Oromia,Lideta,Farmgate
2023-11-07,Powdered milk,Processed Food,1997.23,quintal,Hawassa,Amhara,Jimma Town,Farmgate
2024-02-27,Onion (red),Vegetable,200.08,kg,Shola,Addis Ababa,Basketo,Wholesale
2023-05-23,Kale (Gomen),Vegetable,1672.57,quintal,Bahir Dar,Tigray,Kolfe,Wholesale
2023-01-20,Cabbage,Vegetable,277.29,kg,Jimma,Sidama,Lideta,Farmgate
2023-05-10,Tea (local),Processed Food,289.89,kg,Dessie,SNNPR,Basketo,Retail
2024-01-07,Flour (wheat),Processed Food,1675.49,quintal,Gonder,Oromia,South Wollo,Wholesale
2023-09-23,Kale (Gomen),Vegetable,190.43,kg,Gonder,Addis Ababa,Wolaita,Wholesale
2023-11-26,Tea (local),Processed Food,1672.36,quintal,Wolkite,Oromia,Kolfe,Wholesale
2024-05-03,Apple (local),Fruit,1502.71,quintal,Wolkite,Sidama,Bole,Farmgate
2024-02-27,Teff (white),Cereal,2199.32,kg,Wolkite,SNNPR,South Wollo,Retail
2023-01-09,Salt,Processed Food,35.29,kg,Dessie,Addis Ababa,Kolfe,Farmgate
2024-04-17,Pepper powder,Other,1330.23,quintal,Bahir Dar,Southwest Ethiopia,Bole,Farmgate
2023-02-13,Shiro,Other,76.01,kg,Bahir Dar,Tigray,Hadiya,Farmgate
2023-04-09,Rice (imported),Cereal,2542.75,kg,Hawassa,Southwest Ethiopia,North Shewa,Farmgate
2023-07-07,Wheat,Cereal,1275.99,quintal,Shola,Amhara,Lideta,Farmgate
2023-09-20,Teff (red),Cereal,1787.46,quintal,Bahir Dar,SNNPR,Hadiya,Retail
2023-11-06,Guava,Fruit,2170.75,quintal,Jimma,Addis Ababa,Jimma Town,Wholesale
2023-07-13,Tomato,Vegetable,1222.74,quintal,Dessie,Amhara,Basketo,Retail
2023-07-02,Coffee (roasted),Processed Food,42.77,kg,Dessie,Sidama,Bole,Farmgate
2024-03-14,Green pepper,Vegetable,2118.1,quintal,Wolkite,Amhara,Bole,Farmgate
2023-02-18,Avocado,Fruit,162.97,kg,Bahir Dar,Southwest Ethiopia,Kolfe,Farmgate
2024-04-24,Oats,Cereal,1695.12,quintal,Bahir Dar,SNNPR,Jimma Town,Wholesale
2023-05-14,Mutton,Animal Product,2358.93,quintal,Merkato,Southwest Ethiopia,South Wollo,Wholesale
2023-09-11,Teff (red),Cereal,1891.25,kg,Dessie,Tigray,Bole,Wholesale
2023-02-07,Roasted grains,Other,1346.35,quintal,Bahir Dar,Amhara,North Shewa,Retail
2023-02-06,Millet,Cereal,217.88,kg,Hawassa,Southwest Ethiopia,Bole,Wholesale
2023-05-29,Millet,Cereal,295.74,kg,Merkato,Sidama,Wolaita,Farmgate
2023-09-14,Nifro,Other,1802.49,quintal,Adama,Oromia,Bole,Farmgate
2023-06-07,Mutton,Animal Product,2071.46,quintal,Adama,Tigray,Basketo,Retail
2023-08-07,Potato,Vegetable,114.76,kg,Dessie,Tigray,Jimma Town,Wholesale
2023-12-21,Shiro,Other,2015.15,quintal,Hossana,Tigray,Jimma Town,Retail
2024-04-18,Fava beans,Other,1779.05,quintal,Hossana,Amhara,Lideta,Retail
2024-05-16,Butter (traditional),Animal Product,54.58,kg,Merkato,Tigray,Basketo,Retail
2023-04-20,Lemon,Fruit,1277.68,quintal,Gonder,Oromia,North Shewa,Wholesale
2024-05-10,Sugar (local),Processed Food,227.04,kg,Jimma,Oromia,Hadiya,Farmgate
2023-10-25,Watermelon,Fruit,1805.48,quintal,Gonder,Sidama,Hadiya,Farmgate
2023-04-25,Apple (local),Fruit,87.14,kg,Bahir Dar,Southwest Ethiopia,Wolaita,Farmgate
2023-03-03,Watermelon,Fruit,1188.52,quintal,Dessie,Oromia,Basketo,Retail
2023-11-30,Margarine,Processed Food,63.65,kg,Hossana,Amhara,Basketo,Farmgate
2023-04-09,Potato,Vegetable,284.02,kg,Hossana,Amhara,Kolfe,Retail
2023-09-22,Fava beans,Other,125.24,kg,Dessie,Southwest Ethiopia,Kolfe,Wholesale
2024-01-11,Salt,Processed Food,1797.59,quintal,Wolkite,Amhara,North Shewa,Farmgate
2024-03-26,Pepper powder,Other,1130.5,quintal,Shola,Sidama,Hadiya,Retail
2023-08-10,Roasted grains,Other,1886.29,quintal,Gonder,Oromia,Jimma Town,Retail
2023-03-28,Apple (local),Fruit,127.26,kg,Jimma,Tigray,Wolaita,Farmgate
2023-08-23,Milk (raw),Animal Product,35.6,quintal,Shola,Tigray,Kolfe,Wholesale
2024-02-09,Apple (local),Fruit,2073.34,quintal,Hawassa,Oromia,Jimma Town,Wholesale
2024-06-08,Pepper powder,Other,2302.94,quintal,Hossana,Tigray,South Wollo,Wholesale
2023-01-02,Shiro,Other,2091.21,quintal,Shola,Southwest Ethiopia,Jimma Town,Farmgate
2024-02-05,Spaghetti,Processed Food,1409.26,quintal,Wolkite,Amhara,Lideta,Wholesale
2023-05-13,Teff (white),Cereal,1813.03,quintal,Dessie,SNNPR,Kolfe,Farmgate
2024-01-15,Salt,Processed Food,2460.63,quintal,Merkato,SNNPR,Lideta,Retail
2024-04-08,Margarine,Processed Food,248.81,kg,Shola,Tigray,Bole,Farmgate
2023-06-01,Banana,Fruit,177.43,kg,Merkato,SNNPR,Jimma Town,Wholesale
2024-05-02,Millet,Cereal,220.12,kg,Jimma,Addis Ababa,Basketo,Farmgate
2023-01-27,Rice (imported),Cereal,2433.24,quintal,Dessie,Sidama,Bole,Farmgate
2023-04-17,Roasted grains,Other,1440.37,quintal,Hawassa,Southwest Ethiopia,Wolaita,Retail
2023-02-09,Teff (red),Cereal,1785.29,kg,Bahir Dar,Sidama,Basketo,Wholesale
2023-04-26,Beetroot,Vegetable,2311.93,quintal,Hossana,Oromia,South Wollo,Farmgate
2023-06-02,Maize,Cereal,803.7,kg,Merkato,Tigray,Wolaita,Wholesale
2023-11-06,Lettuce,Vegetable,244.42,kg,Jimma,Tigray,South Wollo,Wholesale
2023-05-25,Lentils,Other,2158.47,quintal,Wolkite,Oromia,Hadiya,Farmgate
2024-01-22,Cheese (Ayib),Animal Product,1072.61,quintal,Dessie,Oromia,Lideta,Wholesale
2024-04-02,Eggs,Animal Product,8.11,kg,Adama,SNNPR,Basketo,Wholesale
2024-02-09,Powdered milk,Processed Food,1935.23,quintal,Hossana,Addis Ababa,Jimma Town,Retail
2023-06-09,Cooking oil (palm),Processed Food,1701.01,quintal,Merkato,Addis Ababa,North Shewa,Retail
2023-09-06,Salt,Processed Food,189.77,kg,Merkato,Addis Ababa,North Shewa,Wholesale
2023-03-23,Kale (Gomen),Vegetable,99.96,kg,Adama,Oromia,Hadiya,Wholesale
2023-04-30,Powdered milk,Processed Food,194.76,kg,Jimma,Sidama,North Shewa,Wholesale
2023-07-18,Chicken (dressed),Animal Product,1965.48,quintal,Adama,Tigray,North Shewa,Farmgate
2024-05-29,Watermelon,Fruit,1306.21,quintal,Wolkite,Tigray,Jimma Town,Farmgate
2023-12-06,Salt,Processed Food,94.46,kg,Jimma,Oromia,Kolfe,Retail
2023-06-12,Beef (raw),Animal Product,844.24,quintal,Dessie,SNNPR,Jimma Town,Retail
2023-10-19,Tea (local),Processed Food,1378.56,quintal,Bahir Dar,Sidama,Bole,Wholesale
2023-03-28,Flour (wheat),Processed Food,216.19,kg,Bahir Dar,Amhara,Lideta,Farmgate
2023-03-11,Papaya,Fruit,259.03,kg,Shola,Addis Ababa,Wolaita,Farmgate
2023-03-05,Hot pepper,Vegetable,1772.23,quintal,Hawassa,SNNPR,Kaffa,Wholesale
2023-03-15,Cabbage,Vegetable,1620.9,quintal,Hawassa,Southwest Ethiopia,South Wollo,Wholesale
2023-03-19,Shiro,Other,188.43,kg,Bahir Dar,Addis Ababa,Kolfe,Farmgate
2023-06-15,Guava,Fruit,266.23,kg,Gonder,Southwest Ethiopia,North Shewa,Wholesale
2023-07-29,Teff (white),Cereal,1983.91,kg,Gonder,Addis Ababa,Kolfe,Wholesale
2023-03-20,Potato,Vegetable,1015.87,quintal,Adama,Southwest Ethiopia,North Shewa,Retail
2024-02-03,Wheat,Cereal,1342.52,quintal,Wolkite,Oromia,Kaffa,Wholesale
2023-03-18,Flour (wheat),Processed Food,145.84,kg,Hossana,Addis Ababa,Kaffa,Wholesale
2024-02-24,Maize,Cereal,946.27,kg,Bahir Dar,Amhara,Hadiya,Wholesale
2023-12-21,Chicken (dressed),Animal Product,1211.81,quintal,Jimma,Sidama,Lideta,Wholesale
2024-06-18,Nifro,Other,1358.85,quintal,Gonder,Southwest Ethiopia,Lideta,Wholesale
2023-04-11,Spaghetti,Processed Food,1231.08,quintal,Shola,Addis Ababa,Wolaita,Retail
2023-02-17,Lettuce,Vegetable,263.13,kg,Bahir Dar,Tigray,Kaffa,Retail
2023-08-13,Margarine,Processed Food,276.86,kg,Shola,SNNPR,Jimma Town,Farmgate
2023-10-29,Barley,Cereal,1385.47,quintal,Adama,SNNPR,Jimma Town,Wholesale
2024-04-17,Teff (red),Cereal,1839.58,quintal,Hossana,SNNPR,Bole,Farmgate
2024-04-09,Apple (local),Fruit,1690.71,quintal,Dessie,Amhara,Kaffa,Farmgate
2023-05-31,Potato,Vegetable,2235.98,quintal,Jimma,Sidama,Kaffa,Retail
2023-09-28,Millet,Cereal,93.54,kg,Jimma,Amhara,Lideta,Wholesale
2024-02-15,Beef (raw),Animal Product,753.67,quintal,Gonder,Tigray,Kaffa,Wholesale
2024-03-16,Kale (Gomen),Vegetable,2422.24,quintal,Merkato,Addis Ababa,Jimma Town,Wholesale
2023-08-15,Salt,Processed Food,231.75,kg,Dessie,SNNPR,North Shewa,Retail
2023-02-17,Lettuce,Vegetable,1723.68,quintal,Jimma,Amhara,Kolfe,Retail
2023-04-27,Hot pepper,Vegetable,139.02,kg,Hossana,Addis Ababa,Bole,Farmgate
2023-10-18,Green pepper,Vegetable,2046.82,quintal,Shola,Oromia,Basketo,Wholesale
2024-02-02,Milk (raw),Animal Product,41.03,kg,Jimma,Tigray,Kolfe,Farmgate
2023-01-14,Chicken (dressed),Animal Product,2498.53,quintal,Wolkite,Addis Ababa,North Shewa,Wholesale
2023-02-13,Tomato,Vegetable,1721.8,quintal,Merkato,Tigray,Jimma Town,Farmgate
2024-04-11,Apple (local),Fruit,2452.32,quintal,Wolkite,SNNPR,Hadiya,Retail
2024-03-19,Mango,Fruit,82.64,kg,Wolkite,Amhara,Kolfe,Retail
2024-01-25,Coffee (roasted),Processed Food,2433.48,quintal,Jimma,Addis Ababa,Wolaita,Farmgate
2024-02-17,Cooking oil (palm),Processed Food,136.04,kg,Wolkite,Tigray,Basketo,Retail
2024-03-01,Salt,Processed Food,211.26,kg,Adama,Oromia,Wolaita,Retail
2023-07-10,Nifro,Other,78.1,kg,Bahir Dar,SNNPR,Jimma Town,Farmgate
2024-03-18,Apple (local),Fruit,1836.01,quintal,Jimma,Tigray,Kaffa,Retail
2024-06-18,Macaroni,Processed Food,85.19,kg,Gonder,Oromia,Bole,Retail
2023-12-20,Tomato,Vegetable,1369.05,quintal,Bahir Dar,Tigray,Bole,Wholesale
2023-09-15,Honey,Other,1080.03,quintal,Adama,Oromia,Lideta,Farmgate
2023-07-25,Beetroot,Vegetable,100.28,kg,Wolkite,Sidama,Jimma Town,Wholesale
2023-03-08,Yogurt,Animal Product,1779.6,quintal,Bahir Dar,Sidama,Hadiya,Retail
2023-04-10,Avocado,Fruit,32.98,kg,Wolkite,Southwest Ethiopia,South Wollo,Retail
2024-01-13,Coffee (roasted),Processed Food,2171.49,quintal,Gonder,Sidama,Jimma Town,Retail
2023-09-11,Lettuce,Vegetable,94.76,kg,Shola,Tigray,South Wollo,Wholesale
2023-12-17,Rice (local),Cereal,1708.18,kg,Gonder,SNNPR,Kaffa,Farmgate
2024-03-02,Beef (raw),Animal Product,750.1,kg,Dessie,Addis Ababa,Hadiya,Farmgate
2023-09-27,Hot pepper,Vegetable,2485.98,quintal,Shola,Amhara,Kolfe,Wholesale
2023-08-10,Rice (local),Cereal,1523.28,quintal,Bahir Dar,Amhara,Basketo,Retail
2024-01-31,Tomato,Vegetable,97.82,kg,Shola,Addis Ababa,Bole,Retail
2023-12-19,Oats,Cereal,275.77,kg,Gonder,Amhara,Kaffa,Farmgate
2023-11-15,Avocado,Fruit,179.64,kg,Hossana,Tigray,Hadiya,Farmgate
2023-08-06,Teff (red),Cereal,1841.35,kg,Hawassa,Sidama,Kolfe,Retail
2024-02-17,Beef (raw),Animal Product,756.21,quintal,Gonder,Amhara,Lideta,Farmgate
2024-04-25,Guava,Fruit,1814.52,quintal,Gonder,Tigray,South Wollo,Farmgate
2023-06-16,Green pepper,Vegetable,90.49,kg,Adama,Oromia,Basketo,Retail
2023-06-21,Teff (white),Cereal,2100.56,quintal,Hawassa,Oromia,Wolaita,Wholesale
2023-11-27,Chicken (dressed),Animal Product,128.72,kg,Hawassa,Amhara,Hadiya,Wholesale
2024-06-09,Chickpeas,Other,263.78,kg,Wolkite,Addis Ababa,South Wollo,Farmgate
2023-03-15,Rice (imported),Cereal,2151.13,quintal,Adama,Oromia,Jimma Town,Wholesale
2024-02-08,Spaghetti,Processed Food,210.32,kg,Hossana,SNNPR,South Wollo,Retail
2023-03-28,Goat meat,Animal Product,280.29,kg,Wolkite,Oromia,Bole,Wholesale
2023-09-06,Eggs,Animal Product,8.99,kg,Adama,Addis Ababa,Lideta,Farmgate
2023-07-01,Flour (wheat),Processed Food,1154.52,quintal,Shola,Southwest Ethiopia,Jimma Town,Retail
2024-05-23,Powdered milk,Processed Food,119.14,kg,Merkato,Oromia,Basketo,Retail
2023-04-19,Teff (red),Cereal,1920.72,kg,Dessie,Amhara,South Wollo,Retail
2023-09-20,Macaroni,Processed Food,80.83,kg,Jimma,Addis Ababa,Kolfe,Retail
2024-05-09,Potato,Vegetable,115.64,kg,Gonder,Tigray,Kaffa,Wholesale
2024-03-29,Watermelon,Fruit,36.83,kg,Gonder,Tigray,Hadiya,Retail
2023-03-20,Mutton,Animal Product,166.29,kg,Adama,SNNPR,Kaffa,Wholesale
2024-03-14,Cooking oil (palm),Processed Food,1210.52,quintal,Merkato,SNNPR,Bole,Retail
2023-09-27,Rice (imported),Cereal,2313.33,quintal,Gonder,Sidama,Basketo,Farmgate
2024-06-01,Millet,Cereal,1619.75,quintal,Wolkite,Amhara,South Wollo,Farmgate
2023-01-17,Honey,Other,2350.24,quintal,Hawassa,Oromia,Jimma Town,Wholesale
2024-03-29,Carrot,Vegetable,1037.75,quintal,Wolkite,Addis Ababa,Jimma Town,Retail
2024-05-21,Spices mix,Other,1124.94,quintal,Hawassa,Sidama,Hadiya,Retail
2023-07-16,Maize,Cereal,803.7,kg,Dessie,Tigray,Lideta,Wholesale
2023-10-16,Sorghum,Cereal,946.85,quintal,Wolkite,Sidama,North Shewa,Retail
2023-01-29,Hot pepper,Vegetable,43.46,kg,Jimma,Oromia,Hadiya,Wholesale
2023-04-28,Mutton,Animal Product,237.94,kg,Dessie,Tigray,Jimma Town,Farmgate
2023-10-21,Mutton,Animal Product,1659.57,quintal,Bahir Dar,Addis Ababa,Kolfe,Retail
2023-09-23,Spices mix,Other,227.55,kg,Bahir Dar,Sidama,Kaffa,Wholesale
2023-03-19,Yogurt,Animal Product,175.95,kg,Bahir Dar,Tigray,Kaffa,Farmgate
2023-01-13,Guava,Fruit,2192.99,quintal,Hawassa,SNNPR,North Shewa,Wholesale
2023-03-22,Beetroot,Vegetable,59.45,kg,Bahir Dar,SNNPR,Wolaita,Wholesale
2023-01-06,Margarine,Processed Food,1868.07,quintal,Gonder,Tigray,North Shewa,Wholesale
2023-02-11,Dry peas,Other,282.84,kg,Gonder,Addis Ababa,Basketo,Farmgate
2023-11-05,Barley,Cereal,1229.06,kg,Shola,SNNPR,North Shewa,Retail
2023-01-01,Watermelon,Fruit,212.89,kg,Adama,Tigray,Bole,Retail
2023-06-09,Shiro,Other,142.59,kg,Shola,Addis Ababa,Bole,Wholesale
2023-06-09,Watermelon,Fruit,1134.43,quintal,Bahir Dar,Tigray,Bole,Retail
2023-09-29,Flour (wheat),Processed Food,74.59,kg,Hawassa,Oromia,Bole,Farmgate
2023-01-18,Rice (local),Cereal,1612.25,kg,Gonder,Oromia,Bole,Wholesale
2023-09-15,Sugar (local),Processed Food,223.13,kg,Gonder,Sidama,South Wollo,Farmgate
2023-09-30,Fava beans,Other,1024.78,quintal,Adama,Sidama,Bole,Farmgate
2023-01-02,Macaroni,Processed Food,2021.13,quintal,Dessie,Amhara,Lideta,Wholesale
2024-05-26,Rice (imported),Cereal,2062.27,kg,Hawassa,Southwest Ethiopia,Hadiya,Farmgate
2024-03-04,Maize,Cereal,1025.57,kg,Adama,SNNPR,South Wollo,Retail
2024-05-22,Kale (Gomen),Vegetable,2018.46,quintal,Adama,Oromia,South Wollo,Retail
2023-06-18,Tea (local),Processed Food,1945.91,quintal,Jimma,Southwest Ethiopia,Bole,Farmgate
2023-09-17,Coffee (roasted),Processed Food,1597.78,quintal,Dessie,Oromia,Basketo,Wholesale
2024-03-24,Sugar (local),Processed Food,94.18,kg,Dessie,Southwest Ethiopia,Bole,Wholesale
2023-05-18,Mango,Fruit,1713.58,quintal,Gonder,Tigray,South Wollo,Retail
2023-05-16,Millet,Cereal,1419.62,quintal,Hawassa,SNNPR,Lideta,Farmgate
2023-03-15,Carrot,Vegetable,161.54,kg,Jimma,Southwest Ethiopia,Basketo,Wholesale
2024-02-29,Banana,Fruit,143.11,kg,Wolkite,Sidama,Lideta,Retail
2024-02-15,Rice (local),Cereal,1763.9,kg,Hawassa,Southwest Ethiopia,North Shewa,Farmgate
2023-07-31,Macaroni,Processed Food,277.99,kg,Wolkite,Amhara,Hadiya,Wholesale
2023-09-10,Cooking oil (palm),Processed Food,1508.31,quintal,Merkato,Oromia,North Shewa,Retail
2024-02-24,Flour (wheat),Processed Food,149.76,kg,Bahir Dar,Southwest Ethiopia,Hadiya,Wholesale
2023-03-27,Tomato,Vegetable,1327.9,quintal,Hossana,Oromia,Kolfe,Retail
2024-03-21,Papaya,Fruit,2200.66,quintal,Adama,Tigray,Basketo,Wholesale
2023-05-04,Teff (white),Cereal,2049.46,quintal,Bahir Dar,Amhara,South Wollo,Farmgate
2023-09-22,Flour (wheat),Processed Food,79.27,kg,Adama,Addis Ababa,Bole,Farmgate
2023-08-16,Chickpeas,Other,228.0,kg,Shola,Oromia,Kaffa,Farmgate
2023-07-11,Wheat,Cereal,1387.26,quintal,Gonder,Sidama,Kolfe,Wholesale
2024-01-20,Teff (white),Cereal,1944.97,kg,Gonder,Addis Ababa,Wolaita,Retail
2023-03-10,Tea (local),Processed Food,87.65,kg,Hossana,Southwest Ethiopia,Basketo,Retail
2023-05-29,Margarine,Processed Food,1816.67,quintal,Shola,SNNPR,Jimma Town,Wholesale
2023-07-04,Hot pepper,Vegetable,65.82,kg,Hossana,Southwest Ethiopia,Basketo,Retail
2023-09-10,Orange,Fruit,1721.41,quintal,Shola,Amhara,Lideta,Retail
2023-03-19,Cooking oil (palm),Processed Food,1004.72,quintal,Hossana,Oromia,Bole,Retail
2023-12-22,Apple (local),Fruit,1523.84,quintal,Gonder,SNNPR,South Wollo,Wholesale
2023-02-05,Lettuce,Vegetable,196.37,kg,Wolkite,Amhara,Wolaita,Farmgate
2023-10-12,Mutton,Animal Product,1526.65,quintal,Gonder,Tigray,Kaffa,Wholesale
2024-05-25,Orange,Fruit,134.27,kg,Gonder,Oromia,Basketo,Farmgate
2024-01-02,Green pepper,Vegetable,2081.5,quintal,Gonder,Amhara,Jimma Town,Farmgate
2024-03-19,Hot pepper,Vegetable,195.82,kg,Merkato,Tigray,North Shewa,Retail
2023-07-08,Beetroot,Vegetable,1167.69,quintal,Hawassa,Addis Ababa,Wolaita,Retail
2024-05-09,Spaghetti,Processed Food,1923.16,quintal,Hossana,Oromia,Lideta,Wholesale
2024-02-04,Lentils,Other,98.79,kg,Shola,Sidama,Hadiya,Wholesale
2023-07-15,Maize,Cereal,834.96,kg,Hawassa,Tigray,Kolfe,Farmgate
2023-09-05,Wheat,Cereal,1003.89,kg,Bahir Dar,Addis Ababa,Kaffa,Wholesale
2023-03-02,Kale (Gomen),Vegetable,2352.55,quintal,Adama,Oromia,North Shewa,Farmgate
2023-08-16,Guava,Fruit,2076.33,quintal,Shola,Southwest Ethiopia,Kaffa,Farmgate
2024-04-15,Fava beans,Other,74.64,kg,Hossana,SNNPR,Lideta,Wholesale
2023-01-10,Orange,Fruit,1814.27,quintal,Merkato,Tigray,Kolfe,Wholesale
2023-10-14,Grapes,Fruit,1013.17,quintal,Adama,Amhara,Kolfe,Retail
2023-11-24,Maize,Cereal,958.91,quintal,Adama,Sidama,North Shewa,Wholesale
2023-05-08,Kale (Gomen),Vegetable,1336.57,quintal,Jimma,Amhara,Kaffa,Farmgate
2023-06-15,Cabbage,Vegetable,2002.98,quintal,Jimma,SNNPR,South Wollo,Wholesale
2023-07-07,Beetroot,Vegetable,2342.56,quintal,Merkato,SNNPR,Wolaita,Wholesale
2023-04-06,Carrot,Vegetable,2065.22,quintal,Hossana,Sidama,Bole,Farmgate
2024-06-22,Carrot,Vegetable,217.24,kg,Adama,Oromia,Kolfe,Wholesale
2023-04-19,Lemon,Fruit,293.54,kg,Hossana,Tigray,Jimma Town,Retail
2024-05-12,Mango,Fruit,2381.41,quintal,Dessie,Oromia,Kaffa,Retail
2023-04-17,Potato,Vegetable,1304.35,quintal,Hossana,SNNPR,Bole,Farmgate
2023-03-13,Banana,Fruit,107.01,kg,Wolkite,SNNPR,Lideta,Wholesale
2024-01-17,Cooking oil (palm),Processed Food,1537.35,quintal,Hawassa,Tigray,Lideta,Farmgate
2024-04-24,Coffee (roasted),Processed Food,249.7,kg,Wolkite,Amhara,Hadiya,Wholesale
2024-04-30,Teff (white),Cereal,2140.49,quintal,Hawassa,Oromia,South Wollo,Retail
2024-06-12,Guava,Fruit,276.71,kg,Jimma,Amhara,Kaffa,Retail
2024-01-10,Chickpeas,Other,2272.15,quintal,Merkato,SNNPR,Kaffa,Farmgate
2024-06-21,Goat meat,Animal Product,2464.25,quintal,Bahir Dar,SNNPR,Kolfe,Retail
2023-04-14,Grapes,Fruit,69.85,kg,Adama,Addis Ababa,Wolaita,Wholesale
2023-01-19,Carrot,Vegetable,80.81,kg,Adama,SNNPR,Kaffa,Retail
